location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3409499.0,7.64,10.84,3.11,1.09,54.57,147.1,1
3409500.0,7.64,10.84,3.11,1.09,54.57,147.1,1
3409501.0,7.64,10.84,3.11,1.09,54.57,147.1,1
3409502.0,12.92,16.59,9.0,3.91,47.22,339.2,2
3409503.0,13.24,15.02,3.54,0.53,21.35,344.63,2
3409504.0,14.79,16.55,4.83,0.92,24.32,314.27,2
3409505.0,6.34,7.27,2.38,1.2,67.73,162.74,2
3409506.0,8.41,9.53,3.11,1.24,61.77,188.87,2
3409507.0,10.87,12.28,3.93,1.11,54.62,221.22,2
3409508.0,6.34,7.27,2.38,1.2,67.73,162.74,2
3409509.0,9.57,10.22,1.4,0.59,76.41,232.3,2
3409510.0,1.67,3.78,0.14,0.27,32.48,76.14,1
3409511.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409512.0,1.56,3.6,0.63,0.73,32.56,80.4,1
3409513.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409514.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409515.0,10.56,13.03,3.99,1.56,26.67,277.48,2
3409516.0,3.86,5.83,9.48,3.46,33.82,174.46,1
3409517.0,3.34,5.53,5.18,2.23,28.85,126.95,1
3409518.0,10.47,12.46,2.76,1.57,67.9,150.21,2
3409519.0,17.48,33.57,7.22,2.7,71.33,185.41,2
3409520.0,26.95,31.16,13.91,12.35,12.9,497.76,3
3409521.0,30.56,35.42,19.77,11.47,1.36,552.66,3
3409522.0,30.53,35.99,19.14,13.64,1.12,569.57,3
3409523.0,2.3,3.61,1.76,0.95,29.0,93.99,1
3409524.0,8.85,9.57,1.1,0.42,76.61,218.79,2
3409525.0,30.53,35.99,19.14,13.64,1.12,569.57,3
3409526.0,1.58,2.23,1.53,0.52,31.56,86.78,1
3409527.0,5.86,7.62,4.52,1.26,38.96,152.55,1
3409528.0,2.3,3.61,1.76,0.95,29.0,93.99,1
3409529.0,26.95,31.16,13.91,12.35,12.9,497.76,3
3409530.0,9.57,10.22,1.4,0.59,76.41,232.3,2
3410003.0,0.5,0.73,0.29,0.04,28.68,77.61,1
3410004.0,17.48,33.57,7.22,2.7,71.33,185.41,2
3410005.0,1.58,2.23,1.53,0.52,31.56,86.78,1
3774726.0,10.48,16.3,21.55,3.37,24.45,328.31,2
4296966.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4512170.0,41.3,61.33,4.64,2.7,100.33,299.82,3
4515157.0,24.89,60.33,5.34,2.38,66.77,228.66,3
4527035.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4527173.0,24.89,60.33,5.34,2.38,66.77,228.66,3
4527306.0,24.89,60.33,5.34,2.38,66.77,228.66,3
4527402.0,24.89,60.33,5.34,2.38,66.77,228.66,3
4535267.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4554236.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4554729.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4555745.0,26.66,65.59,4.28,1.28,65.94,227.26,3
4556719.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4557686.0,24.89,60.33,5.34,2.38,66.77,228.66,3
4565419.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4565932.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4565933.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4566426.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4566427.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4567363.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4567364.0,36.39,75.38,7.23,2.81,90.61,284.59,3
4567932.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4568423.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4568424.0,34.16,73.65,3.6,2.96,97.3,222.01,3
4579733.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4600078.0,38.11,87.06,3.68,4.06,95.18,205.48,3
4605118.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4605119.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4605120.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4607067.0,38.11,87.06,3.68,4.06,95.18,205.48,3
4607068.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4608419.0,39.72,92.77,2.77,3.86,98.35,192.89,3
4608421.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4608422.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4608423.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4609261.0,23.92,61.45,5.65,2.75,69.39,216.95,3
4609262.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4609307.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4609353.0,23.92,61.45,5.65,2.75,69.39,216.95,3
4609354.0,38.11,87.06,3.68,4.06,95.18,205.48,3
4614770.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4616262.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4618315.0,37.37,67.6,6.38,4.03,105.34,293.11,3
4618814.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4629400.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4629401.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4630451.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4645154.0,40.65,95.52,3.33,4.2,96.39,199.78,3
4663956.0,15.48,30.95,7.1,1.83,67.35,183.53,2
4698865.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4700982.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4708999.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4710567.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4712030.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4712608.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4720578.0,6.1,7.33,11.39,7.96,28.22,189.75,1
4721112.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4721113.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4722655.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4723667.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4725232.0,37.01,75.32,7.64,5.2,82.44,301.5,3
4755317.0,23.35,75.85,1.97,0.77,64.98,152.29,3
4756281.0,25.21,76.81,2.17,1.01,68.75,156.68,3
4757305.0,25.29,63.52,4.97,2.02,67.67,222.1,3
4757794.0,26.88,82.41,2.4,2.97,71.91,152.63,3
4760841.0,23.35,75.85,1.97,0.77,64.98,152.29,3
4769229.0,25.21,76.81,2.17,1.01,68.75,156.68,3
4770827.0,23.35,75.85,1.97,0.77,64.98,152.29,3
4771378.0,23.35,75.85,1.97,0.77,64.98,152.29,3
4779254.0,25.21,76.81,2.17,1.01,68.75,156.68,3
4779736.0,25.21,76.81,2.17,1.01,68.75,156.68,3
4780772.0,25.21,76.81,2.17,1.01,68.75,156.68,3
4782810.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4790880.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4791416.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4791923.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4792427.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4792428.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4793474.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4801603.0,30.19,68.01,5.92,3.7,73.58,259.96,3
4802178.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4802678.0,17.56,70.03,0.85,0.64,65.14,120.67,3
4803208.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4803719.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4803720.0,39.62,78.35,6.72,6.22,82.21,293.92,3
4804766.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4804768.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4805270.0,17.56,70.03,0.85,0.64,65.14,120.67,3
4814172.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4814248.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4814288.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4816826.0,15.93,66.47,0.58,0.68,66.01,111.12,3
4834565.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4834608.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4837112.0,29.23,66.85,6.91,3.25,75.67,272.71,3
4837114.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4837115.0,29.23,66.85,6.91,3.25,75.67,272.71,3
4837165.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4837166.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4838124.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4845646.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4845647.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4846142.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4846143.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4847174.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4847175.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4847176.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4847674.0,29.01,67.2,5.37,2.9,71.04,249.08,3
4848174.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4848175.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4849914.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4852891.0,31.01,85.82,4.65,2.14,62.75,221.38,3
4854007.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4854008.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4854009.0,29.01,67.2,5.37,2.9,71.04,249.08,3
4854513.0,29.01,67.2,5.37,2.9,71.04,249.08,3
4854514.0,31.01,85.82,4.65,2.14,62.75,221.38,3
4855550.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4855551.0,28.67,67.75,6.06,2.63,73.18,257.11,3
4865063.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4866055.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4867094.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4876581.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4877120.0,32.72,86.47,4.0,2.31,68.9,214.92,3
4884063.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4889110.0,5.06,14.93,1.75,2.44,34.6,100.25,1
4897485.0,5.06,14.93,1.75,2.44,34.6,100.25,1
4908792.0,23.19,57.74,7.63,4.78,72.93,228.56,3
4916349.0,7.35,17.04,3.21,0.82,59.72,131.63,1
4917341.0,36.19,72.58,5.95,3.19,96.96,270.35,3
4952332.0,40.65,95.52,3.33,4.2,96.39,199.78,3
5057509.0,5.01,7.66,3.5,1.9,51.08,117.46,1
5105944.0,2.53,4.12,2.6,0.75,37.63,183.0,1
5311872.0,15.93,66.47,0.58,0.68,66.01,111.12,3
5325356.0,39.62,78.35,6.72,6.22,82.21,293.92,3
5371016.0,36.19,72.58,5.95,3.19,96.96,270.35,3
5371017.0,36.19,72.58,5.95,3.19,96.96,270.35,3
5526280.0,1.67,1.82,0.35,0.06,18.08,155.31,1
5728639.0,41.3,61.33,4.64,2.7,100.33,299.82,3
